cell_id,zone_id,susceptibility_probability
2692,MEL_Z11,0.01318378255333882
2693,MEL_Z11,0.022547781927431714
2694,MEL_Z11,0.007330785786803874
2695,MEL_Z11,0.03674643612457404
2696,MEL_Z11,0.1446860344933294
2697,MEL_Z11,0.12318708465673396
2698,MEL_Z10,0.3975730317317005
2699,MEL_Z10,0.12929142313324943
2700,MEL_Z10,0.20077588745495523
2701,MEL_Z10,0.0905043017105149
2702,MEL_Z10,0.11937400325141603
2703,MEL_Z10,0.06800664421674965
2704,MEL_Z10,0.03833870011128185
2705,MEL_Z10,0.04095980221587542
2706,MEL_Z10,0.0017447411163604796
2707,MEL_Z10,0.0010379337510763853
2708,MEL_Z10,0.003904538090576062
2709,MEL_Z10,0.010444536040975737
2710,MEL_Z10,0.0072335733464369304
2711,MEL_Z10,0.003237604255679798
2712,MEL_Z10,0.05845907741046698
2713,MEL_Z10,0.24904126397721363
2714,MEL_Z10,0.3921861006848822
2715,MEL_Z10,0.03956747209492504
2716,MEL_Z10,0.0629954669606543
2717,MEL_Z09,0.01783622537235625
2718,MEL_Z09,0.18161306279573516
2719,MEL_Z09,0.006070881098442858
2720,MEL_Z09,0.17018253946732836
2721,MEL_Z09,0.08825967497565002
2722,MEL_Z09,0.021628169553038055
2723,MEL_Z09,0.12482746556454263
2724,MEL_Z09,0.08826973962906849
2725,MEL_Z09,0.03868116482393886
2726,MEL_Z09,0.09738079357307902
2727,MEL_Z09,0.06342177035427696
2728,MEL_Z09,0.043693517720260026
2729,MEL_Z09,0.0032001752135683765
2730,MEL_Z07,0.0169038002332391
2731,MEL_Z07,0.004630727784008487
2732,MEL_Z07,0.025262717746420537
2733,MEL_Z07,0.04907296998633015
2734,MEL_Z07,0.2998934347049499
2735,MEL_Z07,0.1522906965067965
2736,MEL_Z07,0.05427555631087414
2737,MEL_Z07,0.21829903089634956
2738,MEL_Z07,0.29652022194188793
2739,MEL_Z07,0.007182372880637288
2740,MEL_Z07,0.07495796383699951
2741,MEL_Z07,0.0040897981866611635
2742,MEL_Z07,0.008737499360466795
2743,MEL_Z07,0.018918624338872873
2744,MEL_Z07,0.016437499360466786
2745,MEL_Z07,0.0029276473999656355
2746,MEL_Z07,0.001335818714215701
2747,MEL_Z07,0.00671709728955482
2753,MEL_Z06,0.006860899741885656
2754,MEL_Z06,0.046465945035336804
2755,MEL_Z06,0.0026745559950867573
2756,MEL_Z06,0.046831613909086016
2757,MEL_Z06,0.26671325990440786
2758,MEL_Z06,0.47342051614209535
2759,MEL_Z06,0.3865293209978554
2779,MEL_Z05,0.2301099201585675
2780,MEL_Z04,0.27684605335607976
2781,MEL_Z04,0.13622788912766723
2782,MEL_Z04,0.3723756595210496
2783,MEL_Z04,0.25621104281709006
2784,MEL_Z04,0.21057584856089426
2785,MEL_Z04,0.5843429934065624
2786,MEL_Z04,0.7309144457808635
2787,MEL_Z04,0.8545491286108772
2788,MEL_Z04,0.21111904758929026
2789,MEL_Z04,0.06896561218913667
2790,MEL_Z04,0.3672265144011144
2791,MEL_Z04,0.2720268415618971
2792,MEL_Z04,0.7153800277057396
2793,MEL_Z04,0.8508479374445426
2794,MEL_Z04,0.12496229604867669
2795,MEL_Z04,0.634152757855061
2796,MEL_Z04,0.9345865452497555
