timestamp,precipitation,soil_moisture_0_7,soil_moisture_7_28,zone_id,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_48h,rain_72h,rain_144h,soil_moisture,soil_change_3h,soil_change_6h,soil_change_12h,soil_change_24h,elev_mean,elev_min,elev_max,slope_mean,slope_max,zone_area_m2,pre2021_landslide_pct,event_window,dataset_split
2021-05-20 23:00:00,0.4,0.428,0.424,MEL_Z01,0.4,2.0,3.4,19.0,50.8,70.9,89.6,90.0,0.426,-0.0010000000000000009,-0.0040000000000000036,-0.0050000000000000044,0.007500000000000007,5033.01350374681,4121,5814,30.4906306712646,75.9392700195312,23661413.6465794,11.056624465881583,0,train
2021-05-21 00:00:00,0.2,0.426,0.423,MEL_Z01,0.2,1.3,3.0,13.1,48.6,71.10000000000001,89.6,90.2,0.4245,-0.0025000000000000022,-0.005500000000000005,-0.0050000000000000044,0.0030000000000000027,5033.01350374681,4121,5814,30.4906306712646,75.9392700195312,23661413.6465794,11.056624465881583,0,train
2021-05-21 01:00:00,0.3,0.426,0.423,MEL_Z01,0.3,0.9000000000000001,2.8000000000000003,8.600000000000001,45.699999999999996,71.4,89.3,90.5,0.4245,-0.0025000000000000022,-0.004500000000000004,-0.003500000000000003,0.0005000000000000004,5033.01350374681,4121,5814,30.4906306712646,75.9392700195312,23661413.6465794,11.056624465881583,0,train
2021-05-21 02:00:00,0.3,0.426,0.422,MEL_Z01,0.3,0.8,2.8,7.2,42.400000000000006,71.7,88.69999999999999,90.8,0.424,-0.0020000000000000018,-0.0030000000000000027,-0.0050000000000000044,-0.0025000000000000022,5033.01350374681,4121,5814,30.4906306712646,75.9392700195312,23661413.6465794,11.056624465881583,0,train
2021-05-21 03:00:00,0.3,0.425,0.422,MEL_Z01,0.3,0.8999999999999999,2.2,6.3,39.2,72.0,88.0,91.1,0.4235,-0.0010000000000000009,-0.003500000000000003,-0.007000000000000006,-0.005500000000000005,5033.01350374681,4121,5814,30.4906306712646,75.9392700195312,23661413.6465794,11.056624465881583,0,train
2021-05-21 04:00:00,0.3,0.424,0.421,MEL_Z01,0.3,0.8999999999999999,1.8,5.5,36.099999999999994,72.3,87.7,91.4,0.4225,-0.0020000000000000018,-0.004500000000000004,-0.008500000000000008,-0.007000000000000006,5033.01350374681,4121,5814,30.4906306712646,75.9392700195312,23661413.6465794,11.056624465881583,0,train
2021-05-21 05:00:00,1.2,0.415,0.419,MEL_Z01,1.2,1.8,2.5999999999999996,6.0,35.2,73.5,88.4,92.6,0.417,-0.007000000000000006,-0.009000000000000008,-0.013000000000000012,-0.013500000000000012,5033.01350374681,4121,5814,30.4906306712646,75.9392700195312,23661413.6465794,11.056624465881583,0,train
2021-05-21 06:00:00,0.0,0.413,0.418,MEL_Z01,0.0,1.5,2.4000000000000004,5.4,34.8,73.0,87.5,92.6,0.4155,-0.008000000000000007,-0.009000000000000008,-0.014500000000000013,-0.013500000000000012,5033.01350374681,4121,5814,30.4906306712646,75.9392700195312,23661413.6465794,11.056624465881583,0,train
2021-05-21 07:00:00,0.0,0.412,0.417,MEL_Z01,0.0,1.2000000000000002,2.0999999999999996,4.9,33.8,72.39999999999999,86.0,92.6,0.4145,-0.008000000000000007,-0.010000000000000009,-0.014500000000000013,-0.015500000000000014,5033.01350374681,4121,5814,30.4906306712646,75.9392700195312,23661413.6465794,11.056624465881583,0,train
2021-05-21 08:00:00,0.0,0.411,0.416,MEL_Z01,0.0,0.0,1.8,4.6000000000000005,31.8,71.5,84.80000000000001,92.6,0.4135,-0.003500000000000003,-0.01050000000000001,-0.013500000000000012,-0.016500000000000015,5033.01350374681,4121,5814,30.4906306712646,75.9392700195312,23661413.6465794,11.056624465881583,0,train
2021-05-21 09:00:00,0.0,0.418,0.415,MEL_Z01,0.0,0.0,1.5,3.7,29.2,70.39999999999999,84.30000000000001,92.6,0.4165,0.0010000000000000009,-0.007000000000000006,-0.01050000000000001,-0.014000000000000012,5033.01350374681,4121,5814,30.4906306712646,75.9392700195312,23661413.6465794,11.056624465881583,0,train
2021-05-21 10:00:00,0.0,0.428,0.416,MEL_Z01,0.0,0.0,1.2,3.0,26.3,69.0,82.60000000000001,92.6,0.422,0.007500000000000007,-0.0005000000000000004,-0.0050000000000000044,-0.009000000000000008,5033.01350374681,4121,5814,30.4906306712646,75.9392700195312,23661413.6465794,11.056624465881583,0,train
2021-05-21 11:00:00,0.0,0.435,0.417,MEL_Z01,0.0,0.0,0.0,2.5999999999999996,21.6,67.5,78.2,92.6,0.426,0.012500000000000011,0.009000000000000008,0.0,-0.0050000000000000044,5033.01350374681,4121,5814,30.4906306712646,75.9392700195312,23661413.6465794,11.056624465881583,0,train
2021-05-21 12:00:00,0.0,0.436,0.421,MEL_Z01,0.0,0.0,0.0,2.4000000000000004,15.5,66.0,77.2,92.6,0.4285,0.01200000000000001,0.013000000000000012,0.0040000000000000036,-0.0010000000000000009,5033.01350374681,4121,5814,30.4906306712646,75.9392700195312,23661413.6465794,11.056624465881583,0,train
2021-05-21 13:00:00,0.0,0.437,0.425,MEL_Z01,0.0,0.0,0.0,2.0999999999999996,10.7,64.39999999999999,76.80000000000001,92.6,0.431,0.009000000000000008,0.016500000000000015,0.006500000000000006,0.0030000000000000027,5033.01350374681,4121,5814,30.4906306712646,75.9392700195312,23661413.6465794,11.056624465881583,0,train
2021-05-21 14:00:00,0.0,0.437,0.428,MEL_Z01,0.0,0.0,0.0,1.8,9.0,62.9,75.60000000000001,92.6,0.4325,0.006500000000000006,0.019000000000000017,0.008500000000000008,0.003500000000000003,5033.01350374681,4121,5814,30.4906306712646,75.9392700195312,23661413.6465794,11.056624465881583,0,train
2021-05-21 15:00:00,0.0,0.436,0.429,MEL_Z01,0.0,0.0,0.0,1.5,7.800000000000001,61.5,74.5,92.6,0.4325,0.0040000000000000036,0.016000000000000014,0.009000000000000008,0.0020000000000000018,5033.01350374681,4121,5814,30.4906306712646,75.9392700195312,23661413.6465794,11.056624465881583,0,train
