cell_id,zone_id,elevation,slope,distance_to_river_m,pre2021_landslide_pct,distance_to_old_landslide_m,event_impact_pct,impacted_2021
2692,MEL_Z11,1806.0,23.827564,5305.946310539072,0.0,216.91381039129632,0.0,0
2693,MEL_Z11,1731.0,22.945995,5235.197193728395,0.0,227.57299550043172,0.0,0
2694,MEL_Z11,1691.0,27.355776,5136.611390787301,0.0,314.4188964517206,0.0,0
2695,MEL_Z11,1668.0,12.368882,5048.460266325194,0.0,236.56259702557338,0.0,0
2696,MEL_Z11,1552.0,27.319334,4970.817127856344,0.0,148.34741069156755,0.0,0
2697,MEL_Z11,1383.0,27.166624,4904.701293301737,0.12670652462736595,130.90246037708795,0.0,0
2698,MEL_Z10,1410.0,35.280323,4850.584153938726,7.649417843591275,62.80747122168929,0.0,0
2699,MEL_Z10,1491.0,24.242445,4808.70937257278,0.0,208.34451259899944,0.0,0
2700,MEL_Z10,1593.0,39.510433,4777.946220177071,0.33432257905831786,127.64162597120605,0.0,0
2701,MEL_Z10,1735.0,46.333054,4760.081300755184,0.0,160.59165971726912,0.0,0
2702,MEL_Z10,1830.0,1.3502246,4755.267376980145,0.00430108051159993,136.51172080436837,0.0,0
2703,MEL_Z10,1895.0,22.991756,4763.281728259208,5.164162524101989,62.69417787637037,0.0,0
2704,MEL_Z10,2007.0,31.158865,4784.059903869777,0.8030218932121229,95.71879166811387,0.0,0
2705,MEL_Z10,2201.0,44.284187,4817.596436862051,0.0,296.77231536144564,0.0,0
2706,MEL_Z10,2225.0,36.76857,4851.345962424651,0.0,503.6770583659708,0.0,0
2707,MEL_Z10,2083.0,34.402565,4885.68301736435,0.0,426.9449447335396,0.0,0
2708,MEL_Z10,1929.0,26.644436,4912.28660347448,0.0,391.2206413961835,0.0,0
2709,MEL_Z10,1845.0,26.3665,4871.76437223668,0.0,498.4721796207001,0.0,0
2710,MEL_Z10,1729.0,26.478884,4843.82251145874,0.0,655.8613161741519,0.0,0
2711,MEL_Z10,1716.0,35.726643,4828.679420549087,0.0,419.68799241968526,0.0,0
2712,MEL_Z10,1770.0,40.19787,4825.845552748666,0.0,212.34747969206015,0.0,0
2713,MEL_Z10,1717.0,35.183537,4835.675177976905,3.359854923924928,99.038574399413,0.0,0
2714,MEL_Z10,1630.0,16.72356,4858.293052636214,1.4553393757853563,117.2327238672948,0.0,0
2715,MEL_Z10,1783.0,29.970255,4893.328274550069,1.7219115251843435,39.93531439548366,0.0,0
2716,MEL_Z10,1906.0,13.858937,4940.698202442689,0.0,188.82935920905896,0.0,0
2717,MEL_Z09,1968.0,23.322042,4988.872518428341,0.0,170.13042125797543,0.0,0
2718,MEL_Z09,2059.0,38.258198,5048.3678983693135,1.651257868586458,0.0,0.0,0
2719,MEL_Z09,2271.0,28.650335,5108.181124422271,0.0,180.51006583892848,0.0,0
2720,MEL_Z09,2374.0,22.71114,5169.479107041201,2.959144516668229,74.69578828940966,0.0,0
2721,MEL_Z09,2454.0,26.158983,5241.409077253214,0.0,141.1651171156103,0.0,0
2722,MEL_Z09,2476.0,36.341805,5321.482585994083,0.0,384.1963813146667,0.0,0
2723,MEL_Z09,2504.0,20.912287,5377.517834193876,0.0,504.3388269008325,0.0,0
2724,MEL_Z09,2552.0,15.599614,5429.83916549981,0.0,559.2007458647166,0.0,0
2725,MEL_Z09,2491.0,25.584454,5446.94821901086,0.0,589.5466304199796,0.0,0
2726,MEL_Z09,2469.0,19.82703,5475.430251402668,0.0,712.3376900764473,0.0,0
2727,MEL_Z09,2353.0,22.77572,5514.9113787513315,0.0,765.2087870275425,0.0,0
2728,MEL_Z09,2347.0,28.144936,5564.984329762508,0.0,557.9292074768463,0.0,0
2729,MEL_Z09,2292.0,23.391932,5625.731389386063,0.0,397.543918514889,0.0,0
2730,MEL_Z07,2249.0,30.177368,5560.710432841974,0.0,344.5302311637708,0.0,0
2731,MEL_Z07,2226.0,28.280272,5396.458242644489,0.0,451.44148472879044,0.0,0
2732,MEL_Z07,2210.0,26.661852,5238.990609964263,0.0,369.5333435054969,0.0,0
2733,MEL_Z07,2195.0,22.092365,5088.937380041318,0.2211468621429629,125.31041334832281,0.0,0
2734,MEL_Z07,2226.0,13.362202,4946.973287240377,0.5491874360187415,119.46285492449329,0.0,0
2735,MEL_Z07,2300.0,20.385319,4813.814054505838,0.0,362.9408259416873,0.0,0
2736,MEL_Z07,2287.0,43.834053,4690.209675275297,0.0,204.24307614213578,0.0,0
2737,MEL_Z07,2395.0,37.143417,4576.934328208575,3.6331461233706936,30.06135353957179,0.0,0
2738,MEL_Z07,2570.0,38.986935,4474.772496051855,0.0,125.88382077204332,0.0,0
2739,MEL_Z07,2686.0,37.687237,4384.501104813434,0.0,375.551226748215,0.0,0
2740,MEL_Z07,2728.0,17.990314,4306.867885691213,0.0,583.9549854809119,0.0,0
2741,MEL_Z07,2701.0,28.88008,4242.566679674743,0.0,787.5038717093624,0.0,0
2742,MEL_Z07,2683.0,34.461792,4192.211001151354,0.0,995.1193838695237,0.0,0
2743,MEL_Z07,2768.0,14.054954,4156.272892491993,0.0,1052.445858517838,0.0,0
2744,MEL_Z07,2834.0,34.881973,4134.670291062281,0.0,828.8144311153442,0.0,0
2745,MEL_Z07,2998.0,31.284876,4127.748688654255,0.0,625.2740920920884,0.0,0
2746,MEL_Z07,3155.0,27.49472,4111.177957400047,0.0,464.1820581283395,0.0,0
2747,MEL_Z07,3326.0,35.861874,4107.212857502542,0.0,403.4399943328444,0.0,0
2753,MEL_Z06,3405.0,30.006462,4061.588521362019,0.0,480.0389731848855,0.0,0
2754,MEL_Z06,3345.0,21.726196,4072.3801208503337,0.0,640.3273843661696,0.0,0
2755,MEL_Z06,3331.0,28.468466,4118.034175291568,0.0,561.5733235649044,0.0,0
2756,MEL_Z06,3295.0,39.752647,4142.762316956817,0.0,322.66336007264454,0.0,0
2757,MEL_Z06,3244.0,37.53491,4169.760348869695,4.810089031385437,80.40485687100035,0.0,0
2758,MEL_Z06,3323.0,48.121506,4200.999517940438,11.770315145695601,7.882042332620138,0.0,0
2759,MEL_Z06,3445.0,31.160069,4171.739596509327,2.891021573345556,3.4642182431199,0.0,0
2779,MEL_Z05,4208.0,27.631008,4058.0564400591475,0.00037837127447567267,88.0213968987436,0.0,0
2780,MEL_Z04,4170.0,10.456857,4146.038846955516,0.18751117536390244,95.61299395900947,0.0,0
2781,MEL_Z04,4118.0,25.865946,4204.572498156142,0.0,156.01811924396404,0.0,0
2782,MEL_Z04,4054.0,34.59915,4276.94068979659,0.6045707141608022,110.40228249447213,0.0,0
2783,MEL_Z04,4060.0,33.61241,4362.454978085674,0.3028814230715239,128.84734408339705,0.0,0
