zone_id,elev_mean,elev_min,elev_max,slope_mean,slope_max,zone_area_m2,landslide_pct
MEL_Z12,1040.62751106571,813,1661,22.7388625650708,48.2374496459961,2645770.25702982,0.758800240348058
MEL_Z11,1412.92599252014,845,2052,23.0511962157581,55.0062637329102,25028303.1321736,0.0326811085745442
MEL_Z10,1428.74790297671,915,2278,26.3398276921212,63.2260971069336,29712737.4697546,0.393334177315142
MEL_Z09,1667.83941916967,1022,2566,25.3415099676561,64.3939743041992,31667444.8438339,0.231923496965828
MEL_Z08,1977.62845565061,1147,3183,28.8671844337282,63.6438255310059,29997317.0612988,0.201190881154709
MEL_Z07,2293.71270718232,1324,3499,30.6078189030461,71.3713150024414,28660252.0632128,0.549157866705393
MEL_Z06,2561.2687314412,1568,3696,31.5205048328101,70.1920318603516,26078702.9036243,0.313245527898935
MEL_Z05,2951.0409798881,1889,4266,33.4852325304861,70.3243560791016,23810892.8335053,1.02575810821879
MEL_Z04,3509.95157455013,2312,4683,35.287052996504,79.0199432373047,27995401.782629,1.98126132459894
MEL_Z03,4123.64307149824,2914,5267,33.9162103511505,75.6146392822266,23996078.3319394,9.87042599284553
MEL_Z02,4300.4093204775,3581,5174,34.8912258723291,77.6847305297852,11764705.0715687,6.06519673670795
MEL_Z01,5033.01350374681,4121,5814,30.4906306712646,75.9392700195312,23661413.6465794,4.99820956390929
